Year,Month,Total Precipitation
2019,1,3.39
2019,2,0.59
2019,3,0.41
2019,4,7.28
2019,5,7.52
2019,6,4.45
2019,7,0.39
2019,8,1.51
2019,9,0.64
2019,10,4.19
2019,11,0.66
2019,12,0.83
2020,1,2.38
2020,2,2.29
2020,3,4.01
2020,4,2.88
2020,5,7.84
2020,6,2.67
2020,7,0.65
2020,8,1.25
2020,9,5.96
2020,10,0.35
2020,11,0.73
2020,12,4.07
2021,1,1.63
2021,2,1.91
2021,3,1.11
2021,4,3.43
2021,5,7.23
2021,6,3.57
2021,7,1.7
2021,8,2.12
2021,9,2.8
2021,10,3.28
2021,11,1.26
2021,12,2.2
